iter	RMSE
0	59.29401393
1	46.77228237
2	35.81156981
3	27.0829513
4	22.08271433
5	17.56013394
6	14.12966643
7	11.78145435
8	9.776864673
9	8.701368115
10	7.632325431
11	6.995605778
12	6.474160312
13	5.968907236
14	5.627795424
15	5.440566333
16	5.172318398
17	5.035015721
18	4.871135023
19	4.707159971
20	4.550140151
21	4.397894369
22	4.319531743
23	4.244972524
24	4.118748262
25	4.032566734
26	3.949324594
27	3.816815803
28	3.670594601
29	3.59722989
30	3.545053986
31	3.461063336
32	3.304906198
33	3.216008814
34	3.167071371
35	3.106326382
36	3.064784747
37	2.98000904
38	2.898573057
39	2.825176862
40	2.780281091
41	2.731904963
42	2.68164711
43	2.635428233
44	2.552226179
45	2.485407949
46	2.427160094
47	2.377022462
48	2.339927978
49	2.308340932
50	2.27252892
51	2.227129355
52	2.197395252
53	2.17199413
54	2.142544964
55	2.118109981
56	2.091912185
57	2.064404672
58	2.048912226
59	2.022215962
60	1.990493491
61	1.953729168
62	1.934009268
63	1.922985199
64	1.906478871
65	1.896683021
66	1.878073876
67	1.855840547
68	1.822453453
69	1.801220958
70	1.78867238
71	1.765382337
72	1.744836165
73	1.727475362
74	1.714760375
75	1.703471294
76	1.674528645
77	1.66193631
78	1.639128604
79	1.621876638
80	1.612246117
81	1.597415861
82	1.581082345
83	1.567684012
84	1.537787261
85	1.523569974
86	1.508891431
87	1.495506878
88	1.487802582
89	1.470852408
90	1.462974379
91	1.458322248
92	1.446894333
93	1.435221654
94	1.427266527
95	1.417839059
96	1.401467156
97	1.391407685
98	1.388758636
99	1.374133664
100	1.360213649
101	1.354689161
102	1.344759743
103	1.332917604
104	1.308210983
105	1.300243654
106	1.291574421
107	1.281227173
108	1.274698726
109	1.269629414
110	1.265725763
111	1.258416865
112	1.254869874
113	1.24380157
114	1.23434972
115	1.225693642
116	1.220236531
117	1.208187862
118	1.201652601
119	1.195232785
120	1.186429106
121	1.179693708
122	1.173104621
123	1.168369958
124	1.158486204
125	1.155505287
126	1.151923268
127	1.147161456
128	1.141539179
129	1.134869374
130	1.13136505
131	1.124928154
132	1.122382557
133	1.118849415
134	1.115987891
135	1.105939056
136	1.100871664
137	1.095727854
138	1.092881591
139	1.082317465
140	1.074629923
141	1.069585409
142	1.066494592
143	1.063499548
144	1.057428054
145	1.053145835
146	1.047769791
147	1.046184625
148	1.042533635
149	1.039710415
150	1.035014575
151	1.030194296
152	1.019184033
153	1.016664039
154	1.013756126
155	1.009213184
156	1.005887965
157	1.005422915
158	1.000001455
159	0.9963069577
160	0.9935083451
161	0.9889593458
162	0.9852825264
163	0.9738176885
164	0.9649996111
165	0.9624613853
166	0.9562193635
167	0.946799242
168	0.9441155362
169	0.9409362521
170	0.9378706038
171	0.9346757544
172	0.9235670239
173	0.9211453008
174	0.9147004095
175	0.9123633739
176	0.9092788087
177	0.9083645908
178	0.8997663071
179	0.8968524511
180	0.8911489058
181	0.8896078081
182	0.8862202739
183	0.8809964115
184	0.8781592417
185	0.874764721
186	0.8710135014
187	0.8662729101
188	0.8651204216
189	0.8638167377
190	0.8611837611
191	0.8538781244
192	0.8503950929
193	0.8480578126
194	0.8462683157
195	0.843661793
196	0.8420491348
197	0.8358281693
198	0.8317742291
199	0.8263085139
200	0.8252989798
201	0.8229247588
202	0.820236244
203	0.8181685475
204	0.8144285753
205	0.8115420048
206	0.8040883119
207	0.7990978066
208	0.7959157354
209	0.7899988875
210	0.7874841517
211	0.7852804479
212	0.7842989354
213	0.7834123993
214	0.7780867512
215	0.7738724353
216	0.770300873
217	0.7654736593
218	0.7624553047
219	0.7581675947
220	0.7535475766
221	0.7459280299
222	0.7396406362
223	0.7368766199
224	0.7350646932
225	0.7300979428
226	0.7268662348
227	0.7234653306
228	0.7227258908
229	0.7187902976
230	0.7138769885
231	0.7117800836
232	0.7095452502
233	0.7079078073
234	0.7050406941
235	0.703503752
236	0.7015050899
237	0.7000698605
238	0.6972482953
239	0.6946458772
240	0.6938288054
241	0.6920248343
242	0.6912786763
243	0.6895279286
244	0.6881846057
245	0.682447439
246	0.6804364563
247	0.6781289655
248	0.6761769947
249	0.6733945114
250	0.6727209563
251	0.6702385781
252	0.6624021285
253	0.6567974801
254	0.6557592737
255	0.6543587719
256	0.6538701721
257	0.6519279361
258	0.6471078736
259	0.6459918046
260	0.6451283904
261	0.6438062013
262	0.6412911224
263	0.6401594795
264	0.6384716778
265	0.6370253509
266	0.6347349359
267	0.6291253006
268	0.6272808932
269	0.6264124399
270	0.6246431344
271	0.6200443135
272	0.6178421159
273	0.6153345122
274	0.6146390752
275	0.6119437811
276	0.6099767643
277	0.6087545249
278	0.6055351754
279	0.6039084569
280	0.599686777
281	0.5975074026
282	0.5961842616
283	0.5953127993
284	0.5943875986
285	0.5925909196
286	0.5912408236
287	0.5890159117
288	0.5865786268
289	0.5862639917
290	0.585120341
291	0.5834351705
292	0.5823429819
293	0.5802370077
294	0.5786598508
295	0.5745122734
296	0.5741321871
297	0.57079958
298	0.5698457901
299	0.5684447569
300	0.567383712
301	0.5656356903
302	0.5649271495
303	0.563929501
304	0.5636502238
305	0.5598459954
306	0.5581476226
307	0.5565271151
308	0.5535384163
309	0.5522293671
310	0.5510556533
311	0.5487527326
312	0.5466233889
313	0.5453808918
314	0.5435106603
315	0.5426001127
316	0.5408805916
317	0.5388303749
318	0.5376020462
319	0.5366282974
320	0.5352219917
321	0.5345601107
322	0.5326295548
323	0.5314442001
324	0.5310026641
325	0.5300640927
326	0.5287192596
327	0.5286032234
328	0.5280313734
329	0.5268267922
330	0.5253289876
331	0.5243917054
332	0.5226960629
333	0.5195010851
334	0.5191753809
335	0.518336971
336	0.5158866769
337	0.5148952473
338	0.5138097143
339	0.5127067441
340	0.509729426
341	0.5068619212
342	0.5063668769
343	0.5054420986
344	0.5051021378
345	0.5038377481
346	0.5009158809
347	0.5002259682
348	0.4987376927
349	0.4967706748
350	0.4953035896
351	0.4942543986
352	0.4931493549
353	0.4923885157
354	0.4916760249
355	0.4901407481
356	0.4873982772
357	0.4850875926
358	0.4823810157
359	0.4804701806
360	0.47950737
361	0.4787102424
362	0.4780547785
363	0.4766610992
364	0.475663204
365	0.4751138435
366	0.4733376036
367	0.4731701848
368	0.4724410091
369	0.4716651228
370	0.47102818
371	0.4684097962
372	0.4665704905
373	0.463163594
374	0.4607642565
375	0.4601052516
376	0.4581949055
377	0.4567061059
378	0.4559571565
379	0.453817668
380	0.4531804326
381	0.4526966874
382	0.4494560008
383	0.4486212108
384	0.4480335449
385	0.4433961761
386	0.4413923271
387	0.4393299923
388	0.4382886083
389	0.4366737201
390	0.436110585
391	0.4349649778
392	0.4338316579
393	0.4333954897
394	0.4321674165
395	0.4292803816
396	0.4284487006
397	0.4275435658
398	0.4262788038
399	0.4249202686
400	0.4244960151
401	0.4233403267
402	0.4221010034
403	0.4212505873
404	0.4208852281
405	0.420499354
406	0.4197420481
407	0.4181565131
408	0.416910565
409	0.416179265
410	0.4137302615
411	0.4131575105
412	0.4130491049
413	0.4123013823
414	0.4105596256
415	0.4088394234
416	0.4073355955
417	0.4052734106
418	0.4047545268
419	0.4035418736
420	0.4031123898
421	0.4022476077
422	0.4017691595
423	0.4010146959
424	0.3994589306
425	0.3983315191
426	0.3974442628
427	0.3972853053
428	0.3955819834
429	0.3947087382
430	0.3933399682
431	0.3923752619
432	0.391730199
433	0.3911016796
434	0.3904891554
435	0.3899146637
436	0.3889943909
437	0.3881730192
438	0.3868705689
439	0.3860175945
440	0.3847270755
441	0.3843193332
442	0.3835972588
443	0.3834567969
444	0.3827643697
445	0.3822663728
446	0.3816955796
447	0.3813058095
448	0.3811594942
449	0.3805374342
450	0.3790422995
451	0.3783150693
452	0.3773702475
453	0.3767406625
454	0.376193207
455	0.3750813744
456	0.3742698114
457	0.3733262557
458	0.3728883975
459	0.3723911987
460	0.3712842792
461	0.3707837609
462	0.3688966971
463	0.3684147426
464	0.3681150666
465	0.3676499989
466	0.3664635388
467	0.3657596279
468	0.3654395564
469	0.3643686052
470	0.3637534501
471	0.3626641939
472	0.3621259453
473	0.3617521205
474	0.3616625996
475	0.3610172144
476	0.3603808998
477	0.3598138798
478	0.3592022695
479	0.3590441676
480	0.3587250983
481	0.3576362744
482	0.3569074016
483	0.3555209409
484	0.354921304
485	0.3539117337
486	0.3533963629
487	0.3525542165
488	0.3521868083
489	0.3516599685
490	0.3501877123
491	0.3497130828
492	0.349046472
493	0.3479185437
494	0.3467059342
495	0.3457880651
496	0.3449692657
497	0.3437922526
498	0.3436014075
499	0.3430349167
