iter	Passed	Remaining
0	1	981
1	8	2004
2	10	1682
3	12	1505
4	14	1412
5	15	1297
6	17	1217
7	23	1465
8	26	1422
9	27	1356
10	29	1313
11	31	1267
12	32	1234
13	39	1359
14	41	1336
15	43	1304
16	45	1283
17	46	1250
18	48	1219
19	51	1239
20	55	1263
21	57	1247
22	59	1225
23	61	1213
24	62	1192
25	64	1169
26	69	1214
27	71	1203
28	73	1190
29	74	1172
30	76	1155
31	77	1138
32	79	1122
33	84	1154
34	86	1143
35	87	1133
36	89	1122
37	92	1125
38	94	1112
39	95	1100
40	100	1119
41	101	1110
42	103	1099
43	105	1094
44	107	1083
45	108	1073
46	115	1109
47	117	1103
48	118	1094
49	120	1086
50	122	1077
51	123	1068
52	127	1072
53	131	1088
54	133	1081
55	135	1073
56	137	1067
57	138	1058
58	140	1048
59	146	1076
60	148	1070
61	150	1062
62	152	1056
63	153	1048
64	155	1039
65	159	1048
66	162	1052
67	164	1045
68	166	1038
69	168	1034
70	169	1025
71	171	1018
72	177	1037
73	179	1032
74	181	1026
75	183	1021
76	184	1014
77	186	1007
78	189	1008
79	193	1014
80	195	1008
81	196	1002
82	198	998
83	200	992
84	201	985
85	208	1001
86	210	997
87	211	990
88	213	986
89	215	980
90	216	973
91	218	967
92	222	973
93	224	968
94	225	962
95	227	958
96	229	953
97	231	948
98	237	960
99	239	957
100	241	952
101	243	948
102	244	943
103	246	937
104	247	932
105	252	938
106	254	934
107	255	929
108	258	925
109	259	920
110	260	914
111	266	924
112	269	921
113	270	916
114	272	913
115	274	909
116	276	903
117	277	898
118	284	910
119	286	906
120	288	902
121	290	899
122	291	894
123	294	894
124	299	898
125	301	893
126	302	889
127	304	886
128	306	881
129	308	877
130	312	880
131	315	878
132	317	874
133	318	870
134	320	866
135	322	864
136	328	871
137	331	869
138	334	869
139	336	864
140	340	866
141	343	865
142	344	861
143	346	856
144	348	853
145	350	849
146	351	845
147	355	844
148	358	844
149	360	840
150	361	836
151	363	832
152	365	827
153	366	823
154	368	819
155	373	822
156	375	819
157	376	815
158	379	812
159	381	809
160	382	806
161	387	807
162	390	806
163	391	803
164	393	799
165	395	795
166	397	793
167	400	790
168	403	791
169	405	788
170	407	784
171	410	782
172	412	778
173	414	776
174	418	776
175	420	774
176	423	772
177	424	768
178	426	765
179	431	766
180	434	765
181	436	763
182	438	759
183	440	755
184	441	752
185	443	748
186	449	751
187	451	749
188	453	745
189	454	742
190	456	738
191	458	734
192	461	733
193	466	735
194	467	731
195	470	729
196	472	726
197	473	722
198	475	718
199	479	719
200	481	716
201	484	714
202	485	710
203	487	707
204	488	703
205	494	705
206	496	702
207	497	698
208	499	695
209	500	691
210	502	688
211	504	684
212	506	682
213	510	681
214	512	679
215	514	675
216	515	672
217	517	669
218	519	666
219	521	663
220	524	662
221	526	659
222	528	656
223	530	653
224	532	650
225	533	647
226	536	645
227	539	643
228	541	640
229	543	637
230	544	634
231	546	631
232	547	627
233	549	624
234	553	623
235	555	621
236	557	618
237	560	616
238	561	613
239	563	610
240	564	607
241	569	606
242	571	604
243	573	601
244	575	599
245	577	596
246	579	593
247	580	589
248	584	589
249	587	587
250	588	584
251	591	581
252	592	578
253	594	575
254	595	572
255	599	571
256	602	569
257	604	566
258	606	564
259	608	561
260	610	558
261	611	555
262	615	554
263	618	552
264	620	550
265	622	547
266	624	544
267	625	541
268	627	538
269	630	537
270	633	535
271	635	532
272	637	530
273	639	527
274	641	524
275	642	521
276	644	519
277	647	517
278	650	514
279	651	511
280	653	509
281	654	506
282	656	503
283	657	500
284	659	497
285	662	495
286	664	492
287	665	490
288	667	487
289	669	484
290	670	481
291	672	478
292	673	475
293	677	474
294	678	471
295	680	468
296	681	465
297	683	463
298	684	460
299	686	457
300	687	454
301	689	451
302	692	450
303	694	447
304	695	444
305	697	441
306	698	439
307	700	436
308	701	433
309	703	430
310	704	428
311	710	428
312	713	426
313	715	424
314	717	421
315	721	420
316	724	418
317	726	415
318	728	413
319	729	410
320	731	407
321	733	405
322	735	403
323	737	400
324	739	398
325	740	395
326	742	392
327	743	390
328	745	387
329	746	384
330	748	382
331	751	380
332	753	377
333	754	375
334	756	372
335	757	369
336	759	367
337	760	364
338	762	362
339	764	359
340	767	358
341	769	355
342	770	352
343	772	350
344	774	347
345	775	345
346	777	342
347	778	340
348	780	337
349	783	335
350	784	333
351	786	330
352	787	327
353	789	325
354	790	322
355	792	320
356	793	317
357	795	315
358	798	313
359	799	310
360	801	308
361	803	306
362	804	303
363	806	301
364	808	298
365	809	296
366	811	294
367	814	292
368	817	290
369	818	287
370	820	285
371	822	282
372	823	280
373	825	278
374	828	276
375	830	273
376	832	271
377	835	269
378	837	267
379	838	264
380	840	262
381	841	259
382	847	258
383	849	256
384	851	254
385	853	252
386	855	249
387	856	247
388	860	245
389	863	243
390	865	241
391	867	238
392	868	236
393	870	234
394	872	231
395	877	230
396	879	228
397	882	226
398	883	223
399	885	221
400	887	219
401	891	217
402	894	215
403	896	212
404	898	210
405	900	208
406	901	206
407	903	203
408	909	202
409	911	199
410	913	197
411	915	195
412	916	193
413	918	190
414	922	188
415	925	186
416	927	184
417	929	182
418	931	180
419	932	177
420	934	175
421	938	173
422	941	171
423	943	169
424	945	166
425	947	164
426	948	162
427	950	159
428	954	157
429	956	155
430	958	153
431	959	151
432	961	148
433	963	146
434	964	144
435	966	141
436	971	139
437	972	137
438	974	135
439	975	133
440	977	130
441	978	128
442	980	126
443	981	123
444	985	121
445	986	119
446	988	117
447	989	114
448	991	112
449	992	110
450	994	108
451	995	105
452	997	103
453	1001	101
454	1003	99
455	1005	97
456	1007	94
457	1010	92
458	1012	90
459	1018	88
460	1023	86
461	1026	84
462	1028	82
463	1034	80
464	1037	78
465	1040	75
466	1042	73
467	1043	71
468	1047	69
469	1050	67
470	1052	64
471	1054	62
472	1056	60
473	1058	58
474	1059	55
475	1064	53
476	1065	51
477	1067	49
478	1069	46
479	1071	44
480	1073	42
481	1075	40
482	1078	37
483	1080	35
484	1082	33
485	1084	31
486	1086	28
487	1087	26
488	1090	24
489	1095	22
490	1097	20
491	1100	17
492	1102	15
493	1103	13
494	1105	11
495	1107	8
496	1109	6
497	1111	4
498	1113	2
499	1115	0
